SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007297N18300,NOEL,2007,Bahamas,BHS,2007,11,2007-11,2007-11-01 12:00:00+00:00,2007-11-01 21:00:00+00:00,6,63.0,32.409972
2008241N19303,HANNA,2008,Bahamas,BHS,2008,9,2008-09,2008-09-01 18:00:00+00:00,2008-09-05 06:00:00+00:00,7,70.0,36.01108
2008245N17323,IKE,2008,Bahamas,BHS,2008,9,2008-09,2008-09-07 12:00:00+00:00,2008-09-07 18:00:00+00:00,4,110.0,56.588840000000005
2010203N22286,BONNIE,2010,Bahamas,BHS,2010,7,2010-07,2010-07-22 06:00:00+00:00,2010-07-23 06:00:00+00:00,5,40.0,20.57776
2010271N19276,NICOLE,2010,Bahamas,BHS,2010,9,2010-09,2010-09-30 03:00:00+00:00,2010-09-30 09:00:00+00:00,3,40.0,20.57776
2011197N31280,BRET,2011,Bahamas,BHS,2011,7,2011-07,2011-07-18 06:00:00+00:00,2011-07-18 09:00:00+00:00,2,43.0,22.121092
2011214N15299,EMILY,2011,Bahamas,BHS,2011,8,2011-08,2011-08-06 00:00:00+00:00,2011-08-07 00:00:00+00:00,9,35.0,18.00554
2011233N15301,IRENE,2011,Bahamas,BHS,2011,8,2011-08,2011-08-24 09:00:00+00:00,2011-08-25 21:00:00+00:00,13,101.0,51.958844
2012234N16315,ISAAC,2012,Bahamas,BHS,2012,8,2012-08,2012-08-26 12:00:00+00:00,2012-08-26 12:00:00+00:00,1,55.0,28.294420000000002
2012296N14283,SANDY,2012,Bahamas,BHS,2012,10,2012-10,2012-10-25 18:00:00+00:00,2012-10-26 18:00:00+00:00,9,90.0,46.29996
2013204N11340,DORIAN,2013,Bahamas,BHS,2013,7,2013-07,2013-07-30 21:00:00+00:00,2013-07-31 15:00:00+00:00,6,25.0,12.8611
2013204N11340,DORIAN,2013,Bahamas,BHS,2013,8,2013-08,2013-08-01 09:00:00+00:00,2013-08-02 09:00:00+00:00,8,25.0,12.8611
2014236N22288,CRISTOBAL,2014,Bahamas,BHS,2014,8,2014-08,2014-08-24 00:00:00+00:00,2014-08-24 06:00:00+00:00,3,35.0,18.00554
2015126N27281,ANA,2015,Bahamas,BHS,2015,5,2015-05,2015-05-06 06:00:00+00:00,2015-05-06 06:00:00+00:00,1,25.0,12.8611
2015270N27291,JOAQUIN,2015,Bahamas,BHS,2015,10,2015-10,2015-10-01 09:00:00+00:00,2015-10-03 00:00:00+00:00,15,120.0,61.73328
2015313N22289,KATE,2015,Bahamas,BHS,2015,11,2015-11,2015-11-09 06:00:00+00:00,2015-11-09 18:00:00+00:00,5,45.0,23.14998
2016273N13300,MATTHEW,2016,Bahamas,BHS,2016,10,2016-10,2016-10-05 18:00:00+00:00,2016-10-07 00:00:00+00:00,9,120.0,61.73328
2017242N16333,IRMA,2017,Bahamas,BHS,2017,9,2017-09,2017-09-08 03:00:00+00:00,2017-09-08 18:00:00+00:00,5,140.0,72.02216
2018186N10325,BERYL,2018,Bahamas,BHS,2018,7,2018-07,2018-07-11 00:00:00+00:00,2018-07-11 09:00:00+00:00,4,25.0,12.8611
2019204N25283,UNNAMED,2019,Bahamas,BHS,2019,7,2019-07,2019-07-22 12:00:00+00:00,2019-07-23 00:00:00+00:00,5,25.0,12.8611
2019236N10314,DORIAN,2019,Bahamas,BHS,2019,9,2019-09,2019-09-01 15:00:00+00:00,2019-09-03 12:00:00+00:00,18,160.0,82.31104
2019256N23286,HUMBERTO,2019,Bahamas,BHS,2019,9,2019-09,2019-09-12 12:00:00+00:00,2019-09-14 18:00:00+00:00,9,45.0,23.14998
2020211N13306,ISAIAS,2020,Bahamas,BHS,2020,7,2020-07,2020-07-31 09:00:00+00:00,2020-07-31 21:00:00+00:00,3,73.0,37.554412
2020211N13306,ISAIAS,2020,Bahamas,BHS,2020,8,2020-08,2020-08-01 03:00:00+00:00,2020-08-02 06:00:00+00:00,9,75.0,38.5833
2020256N25281,SALLY,2020,Bahamas,BHS,2020,9,2020-09,2020-09-11 21:00:00+00:00,2020-09-12 00:00:00+00:00,2,30.0,15.43332
2020306N15288,ETA,2020,Bahamas,BHS,2020,11,2020-11,2020-11-08 18:00:00+00:00,2020-11-08 18:00:00+00:00,1,55.0,28.294420000000002
2022311N21293,NICOLE,2022,Bahamas,BHS,2022,11,2022-11,2022-11-09 15:00:00+00:00,2022-11-10 03:00:00+00:00,7,65.0,33.43886
2024293N21294,OSCAR,2024,Bahamas,BHS,2024,10,2024-10,2024-10-20 06:00:00+00:00,2024-10-22 12:00:00+00:00,7,73.0,37.554412
