SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007244N12303,FELIX,2007,Belize,BLZ,2007,9,2007-09,2007-09-05 18:00:00+00:00,2007-09-06 00:00:00+00:00,3,20.0,10.28888
2008152N18273,ARTHUR,2008,Belize,BLZ,2008,5,2008-05,2008-05-31 00:00:00+00:00,2008-05-31 21:00:00+00:00,8,40.0,20.57776
2008152N18273,ARTHUR,2008,Belize,BLZ,2008,6,2008-06,2008-06-01 00:00:00+00:00,2008-06-01 00:00:00+00:00,1,35.0,18.00554
2010176N16278,ALEX,2010,Belize,BLZ,2010,6,2010-06,2010-06-26 21:00:00+00:00,2010-06-27 06:00:00+00:00,4,55.0,28.294420000000002
2010257N16282,KARL,2010,Belize,BLZ,2010,9,2010-09,2010-09-15 12:00:00+00:00,2010-09-15 15:00:00+00:00,3,55.0,28.294420000000002
2010267N14285,MATTHEW,2010,Belize,BLZ,2010,9,2010-09,2010-09-25 15:00:00+00:00,2010-09-25 18:00:00+00:00,2,35.0,18.00554
2010293N17277,RICHARD,2010,Belize,BLZ,2010,10,2010-10,2010-10-24 21:00:00+00:00,2010-10-25 09:00:00+00:00,6,85.0,43.727740000000004
2011231N15278,HARVEY,2011,Belize,BLZ,2011,8,2011-08,2011-08-20 15:00:00+00:00,2011-08-20 21:00:00+00:00,4,55.0,28.294420000000002
2012215N12313,ERNESTO,2012,Belize,BLZ,2012,8,2012-08,2012-08-08 06:00:00+00:00,2012-08-08 06:00:00+00:00,1,80.0,41.15552
2012223N14317,HELENE,2012,Belize,BLZ,2012,8,2012-08,2012-08-15 12:00:00+00:00,2012-08-15 18:00:00+00:00,3,30.0,15.43332
2013167N12279,BARRY,2013,Belize,BLZ,2013,6,2013-06,2013-06-17 21:00:00+00:00,2013-06-18 06:00:00+00:00,5,30.0,15.43332
2014294N20265,HANNA,2014,Belize,BLZ,2014,10,2014-10,2014-10-24 00:00:00+00:00,2014-10-29 12:00:00+00:00,9,20.0,10.28888
2016215N16283,EARL,2016,Belize,BLZ,2016,8,2016-08,2016-08-04 03:00:00+00:00,2016-08-04 12:00:00+00:00,5,75.0,38.5833
2017228N14314,HARVEY,2017,Belize,BLZ,2017,8,2017-08,2017-08-22 06:00:00+00:00,2017-08-22 06:00:00+00:00,1,25.0,12.8611
2020245N16285,NANA,2020,Belize,BLZ,2020,9,2020-09,2020-09-03 06:00:00+00:00,2020-09-03 12:00:00+00:00,3,65.0,33.43886
2022304N16287,LISA,2022,Belize,BLZ,2022,11,2022-11,2022-11-02 18:00:00+00:00,2022-11-03 06:00:00+00:00,6,80.0,41.15552
2024293N17275,NADINE,2024,Belize,BLZ,2024,10,2024-10,2024-10-19 12:00:00+00:00,2024-10-19 21:00:00+00:00,5,50.0,25.7222
2024319N16282,SARA,2024,Belize,BLZ,2024,11,2024-11,2024-11-17 12:00:00+00:00,2024-11-17 18:00:00+00:00,4,35.0,18.00554
