SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007345N18298,OLGA,2007,Dominican Republic,DOM,2007,12,2007-12,2007-12-11 18:00:00+00:00,2007-12-12 06:00:00+00:00,5,50.0,25.7222
2008229N18293,FAY,2008,Dominican Republic,DOM,2008,8,2008-08,2008-08-15 14:30:00+00:00,2008-08-16 09:00:00+00:00,8,40.0,20.57776
2009279N15311,HENRI,2009,Dominican Republic,DOM,2009,10,2009-10,2009-10-11 06:00:00+00:00,2009-10-11 12:00:00+00:00,3,20.0,10.28888
2012234N16315,ISAAC,2012,Dominican Republic,DOM,2012,8,2012-08,2012-08-25 00:00:00+00:00,2012-08-25 00:00:00+00:00,1,55.0,28.294420000000002
2013248N16294,GABRIELLE,2013,Dominican Republic,DOM,2013,9,2013-09,2013-09-05 18:00:00+00:00,2013-09-06 03:00:00+00:00,4,25.0,12.8611
2014210N10323,BERTHA,2014,Dominican Republic,DOM,2014,8,2014-08,2014-08-02 21:00:00+00:00,2014-08-03 03:00:00+00:00,3,40.0,20.57776
2018186N10325,BERYL,2018,Dominican Republic,DOM,2018,7,2018-07,2018-07-10 06:00:00+00:00,2018-07-10 15:00:00+00:00,4,30.0,15.43332
2020211N13306,ISAIAS,2020,Dominican Republic,DOM,2020,7,2020-07,2020-07-30 12:00:00+00:00,2020-07-31 00:00:00+00:00,6,65.0,33.43886
2020233N14313,LAURA,2020,Dominican Republic,DOM,2020,8,2020-08,2020-08-23 00:00:00+00:00,2020-08-23 12:00:00+00:00,6,45.0,23.14998
2021222N14301,FRED,2021,Dominican Republic,DOM,2021,8,2021-08,2021-08-11 09:00:00+00:00,2021-08-12 00:00:00+00:00,7,40.0,20.57776
2021225N15313,GRACE,2021,Dominican Republic,DOM,2021,8,2021-08,2021-08-16 15:00:00+00:00,2021-08-16 18:00:00+00:00,3,35.0,18.00554
2022257N16312,FIONA,2022,Dominican Republic,DOM,2022,9,2022-09,2022-09-19 03:00:00+00:00,2022-09-19 21:00:00+00:00,8,90.0,46.29996
2023232N13300,FRANKLIN,2023,Dominican Republic,DOM,2023,8,2023-08,2023-08-23 06:00:00+00:00,2023-08-23 21:00:00+00:00,7,40.0,20.57776
