SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007150N14263,BARBARA,2007,Guatemala,GTM,2007,6,2007-06,2007-06-02 09:00:00+00:00,2007-06-02 18:00:00+00:00,5,45.0,23.14998
2007244N12303,FELIX,2007,Guatemala,GTM,2007,9,2007-09,2007-09-05 15:00:00+00:00,2007-09-06 09:00:00+00:00,7,20.0,10.28888
2008152N18273,ARTHUR,2008,Guatemala,GTM,2008,6,2008-06,2008-06-01 06:00:00+00:00,2008-06-02 00:00:00+00:00,7,35.0,18.00554
2010149N13266,AGATHA,2010,Guatemala,GTM,2010,5,2010-05,2010-05-29 21:00:00+00:00,2010-05-30 12:00:00+00:00,7,40.0,20.57776
2010176N16278,ALEX,2010,Guatemala,GTM,2010,6,2010-06,2010-06-27 06:00:00+00:00,2010-06-27 06:00:00+00:00,1,55.0,28.294420000000002
2010267N14285,MATTHEW,2010,Guatemala,GTM,2010,9,2010-09,2010-09-25 18:00:00+00:00,2010-09-26 03:00:00+00:00,4,30.0,15.43332
2010293N17277,RICHARD,2010,Guatemala,GTM,2010,10,2010-10,2010-10-25 06:00:00+00:00,2010-10-25 18:00:00+00:00,5,65.0,33.43886
2011231N15278,HARVEY,2011,Guatemala,GTM,2011,8,2011-08,2011-08-20 21:00:00+00:00,2011-08-21 09:00:00+00:00,5,45.0,23.14998
2012223N14317,HELENE,2012,Guatemala,GTM,2012,8,2012-08,2012-08-15 12:00:00+00:00,2012-08-16 03:00:00+00:00,6,30.0,15.43332
2013167N12279,BARRY,2013,Guatemala,GTM,2013,6,2013-06,2013-06-18 03:00:00+00:00,2013-06-18 15:00:00+00:00,5,30.0,15.43332
2014294N20265,HANNA,2014,Guatemala,GTM,2014,10,2014-10,2014-10-23 18:00:00+00:00,2014-10-29 18:00:00+00:00,8,20.0,10.28888
2016215N16283,EARL,2016,Guatemala,GTM,2016,8,2016-08,2016-08-04 09:00:00+00:00,2016-08-05 00:00:00+00:00,6,68.0,34.982192
2020152N12269,AMANDA,2020,Guatemala,GTM,2020,5,2020-05,2020-05-31 09:00:00+00:00,2020-05-31 12:00:00+00:00,3,35.0,18.00554
2020154N19269,CRISTOBAL,2020,Guatemala,GTM,2020,6,2020-06,2020-06-04 09:00:00+00:00,2020-06-05 03:00:00+00:00,7,33.0,16.976652
2020245N16285,NANA,2020,Guatemala,GTM,2020,9,2020-09,2020-09-03 09:00:00+00:00,2020-09-04 00:00:00+00:00,6,55.0,28.294420000000002
2020306N15288,ETA,2020,Guatemala,GTM,2020,11,2020-11,2020-11-05 21:00:00+00:00,2020-11-05 21:00:00+00:00,1,30.0,15.43332
2022280N11294,JULIA,2022,Guatemala,GTM,2022,10,2022-10,2022-10-10 11:00:00+00:00,2022-10-10 12:00:00+00:00,2,35.0,18.00554
2022304N16287,LISA,2022,Guatemala,GTM,2022,11,2022-11,2022-11-03 03:00:00+00:00,2022-11-03 15:00:00+00:00,5,55.0,28.294420000000002
2024293N17275,NADINE,2024,Guatemala,GTM,2024,10,2024-10,2024-10-19 21:00:00+00:00,2024-10-20 06:00:00+00:00,4,38.0,19.548872
2024319N16282,SARA,2024,Guatemala,GTM,2024,11,2024-11,2024-11-17 18:00:00+00:00,2024-11-18 00:00:00+00:00,3,30.0,15.43332
