SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007244N12303,FELIX,2007,Honduras,HND,2007,9,2007-09,2007-09-04 18:00:00+00:00,2007-09-05 18:00:00+00:00,9,85.0,43.727740000000004
2008150N10274,ALMA,2008,Honduras,HND,2008,5,2008-05,2008-05-30 00:00:00+00:00,2008-05-30 12:00:00+00:00,5,45.0,23.14998
2008289N15277,UNNAMED,2008,Honduras,HND,2008,10,2008-10,2008-10-15 06:00:00+00:00,2008-10-16 00:00:00+00:00,8,25.0,12.8611
2009308N11279,IDA,2009,Honduras,HND,2009,11,2009-11,2009-11-06 09:00:00+00:00,2009-11-07 12:00:00+00:00,8,55.0,28.294420000000002
2010176N16278,ALEX,2010,Honduras,HND,2010,6,2010-06,2010-06-26 09:00:00+00:00,2010-06-26 09:00:00+00:00,1,40.0,20.57776
2010267N14285,MATTHEW,2010,Honduras,HND,2010,9,2010-09,2010-09-24 18:00:00+00:00,2010-09-25 12:00:00+00:00,8,50.0,25.7222
2010284N14278,PAULA,2010,Honduras,HND,2010,10,2010-10,2010-10-11 09:00:00+00:00,2010-10-11 21:00:00+00:00,5,63.0,32.409972
2010293N17277,RICHARD,2010,Honduras,HND,2010,10,2010-10,2010-10-24 00:00:00+00:00,2010-10-24 12:00:00+00:00,4,75.0,38.5833
2011231N15278,HARVEY,2011,Honduras,HND,2011,8,2011-08,2011-08-19 18:00:00+00:00,2011-08-20 09:00:00+00:00,6,50.0,25.7222
2011295N13279,RINA,2011,Honduras,HND,2011,10,2011-10,2011-10-25 06:00:00+00:00,2011-10-25 18:00:00+00:00,5,100.0,51.4444
2012215N12313,ERNESTO,2012,Honduras,HND,2012,8,2012-08,2012-08-07 09:00:00+00:00,2012-08-07 09:00:00+00:00,1,60.0,30.86664
2012223N14317,HELENE,2012,Honduras,HND,2012,8,2012-08,2012-08-14 21:00:00+00:00,2012-08-15 12:00:00+00:00,6,30.0,15.43332
2013167N12279,BARRY,2013,Honduras,HND,2013,6,2013-06,2013-06-16 18:00:00+00:00,2013-06-17 18:00:00+00:00,9,30.0,15.43332
2014294N20265,HANNA,2014,Honduras,HND,2014,10,2014-10,2014-10-25 18:00:00+00:00,2014-10-28 18:00:00+00:00,14,35.0,18.00554
2017219N16279,FRANKLIN,2017,Honduras,HND,2017,8,2017-08,2017-08-07 09:00:00+00:00,2017-08-07 09:00:00+00:00,1,43.0,22.121092
2017277N11279,NATE,2017,Honduras,HND,2017,10,2017-10,2017-10-05 18:00:00+00:00,2017-10-06 06:00:00+00:00,5,40.0,20.57776
2017301N18276,PHILIPPE,2017,Honduras,HND,2017,10,2017-10,2017-10-27 18:00:00+00:00,2017-10-27 18:00:00+00:00,1,30.0,15.43332
2020234N14280,MARCO,2020,Honduras,HND,2020,8,2020-08,2020-08-21 06:00:00+00:00,2020-08-21 18:00:00+00:00,2,30.0,15.43332
2020245N16285,NANA,2020,Honduras,HND,2020,9,2020-09,2020-09-02 12:00:00+00:00,2020-09-02 12:00:00+00:00,1,50.0,25.7222
2020276N17277,GAMMA,2020,Honduras,HND,2020,10,2020-10,2020-10-02 06:00:00+00:00,2020-10-02 09:00:00+00:00,2,30.0,15.43332
2020299N18277,ZETA,2020,Honduras,HND,2020,10,2020-10,2020-10-25 09:00:00+00:00,2020-10-25 09:00:00+00:00,1,43.0,22.121092
2020306N15288,ETA,2020,Honduras,HND,2020,11,2020-11,2020-11-04 18:00:00+00:00,2020-11-06 00:00:00+00:00,11,40.0,20.57776
2020318N16289,IOTA,2020,Honduras,HND,2020,11,2020-11,2020-11-17 18:00:00+00:00,2020-11-18 12:00:00+00:00,7,55.0,28.294420000000002
2024319N16282,SARA,2024,Honduras,HND,2024,11,2024-11,2024-11-14 21:00:00+00:00,2024-11-17 03:00:00+00:00,20,45.0,23.14998
