SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007297N18300,NOEL,2007,Haiti,HTI,2007,10,2007-10,2007-10-29 06:00:00+00:00,2007-10-29 18:00:00+00:00,6,45.0,23.14998
2007345N18298,OLGA,2007,Haiti,HTI,2007,12,2007-12,2007-12-12 06:00:00+00:00,2007-12-12 09:00:00+00:00,2,40.0,20.57776
2008229N18293,FAY,2008,Haiti,HTI,2008,8,2008-08,2008-08-16 06:00:00+00:00,2008-08-16 15:00:00+00:00,5,40.0,20.57776
2008238N13293,GUSTAV,2008,Haiti,HTI,2008,8,2008-08,2008-08-26 15:00:00+00:00,2008-08-27 21:00:00+00:00,11,75.0,38.5833
2008241N19303,HANNA,2008,Haiti,HTI,2008,9,2008-09,2008-09-02 21:00:00+00:00,2008-09-03 06:00:00+00:00,4,55.0,28.294420000000002
2010302N09306,TOMAS,2010,Haiti,HTI,2010,11,2010-11,2010-11-05 12:00:00+00:00,2010-11-06 00:00:00+00:00,3,75.0,38.5833
2011214N15299,EMILY,2011,Haiti,HTI,2011,8,2011-08,2011-08-04 18:00:00+00:00,2011-08-05 00:00:00+00:00,3,30.0,15.43332
2012234N16315,ISAAC,2012,Haiti,HTI,2012,8,2012-08,2012-08-25 03:00:00+00:00,2012-08-25 12:00:00+00:00,4,55.0,28.294420000000002
2016273N13300,MATTHEW,2016,Haiti,HTI,2016,10,2016-10,2016-10-04 09:00:00+00:00,2016-10-04 15:00:00+00:00,4,130.0,66.87772
2018186N10325,BERYL,2018,Haiti,HTI,2018,7,2018-07,2018-07-10 12:00:00+00:00,2018-07-10 18:00:00+00:00,3,30.0,15.43332
2020233N14313,LAURA,2020,Haiti,HTI,2020,8,2020-08,2020-08-23 12:00:00+00:00,2020-08-23 15:00:00+00:00,2,50.0,25.7222
2021222N14301,FRED,2021,Haiti,HTI,2021,8,2021-08,2021-08-12 00:00:00+00:00,2021-08-12 06:00:00+00:00,3,30.0,15.43332
2021225N15313,GRACE,2021,Haiti,HTI,2021,8,2021-08,2021-08-16 18:00:00+00:00,2021-08-17 03:00:00+00:00,4,38.0,19.548872
