SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007244N12303,FELIX,2007,Nicaragua,NIC,2007,9,2007-09,2007-09-04 09:00:00+00:00,2007-09-05 00:00:00+00:00,6,140.0,72.02216
2008150N10274,ALMA,2008,Nicaragua,NIC,2008,5,2008-05,2008-05-29 15:00:00+00:00,2008-05-30 03:00:00+00:00,6,55.0,28.294420000000002
2009308N11279,IDA,2009,Nicaragua,NIC,2009,11,2009-11,2009-11-05 00:00:00+00:00,2009-11-06 15:00:00+00:00,14,70.0,36.01108
2010267N14285,MATTHEW,2010,Nicaragua,NIC,2010,9,2010-09,2010-09-24 18:00:00+00:00,2010-09-25 00:00:00+00:00,4,50.0,25.7222
2010284N14278,PAULA,2010,Nicaragua,NIC,2010,10,2010-10,2010-10-11 06:00:00+00:00,2010-10-11 15:00:00+00:00,4,53.0,27.265532
2012223N14317,HELENE,2012,Nicaragua,NIC,2012,8,2012-08,2012-08-14 15:00:00+00:00,2012-08-15 00:00:00+00:00,4,30.0,15.43332
2013167N12279,BARRY,2013,Nicaragua,NIC,2013,6,2013-06,2013-06-16 12:00:00+00:00,2013-06-16 21:00:00+00:00,4,25.0,12.8611
2014294N20265,HANNA,2014,Nicaragua,NIC,2014,10,2014-10,2014-10-27 09:00:00+00:00,2014-10-28 03:00:00+00:00,8,35.0,18.00554
2016323N13279,OTTO,2016,Nicaragua,NIC,2016,11,2016-11,2016-11-24 15:00:00+00:00,2016-11-25 03:30:00+00:00,7,100.0,51.4444
2017277N11279,NATE,2017,Nicaragua,NIC,2017,10,2017-10,2017-10-05 06:00:00+00:00,2017-10-05 21:00:00+00:00,6,35.0,18.00554
2020234N14280,MARCO,2020,Nicaragua,NIC,2020,8,2020-08,2020-08-21 06:00:00+00:00,2020-08-21 06:00:00+00:00,1,30.0,15.43332
2020306N15288,ETA,2020,Nicaragua,NIC,2020,11,2020-11,2020-11-02 21:00:00+00:00,2020-11-05 06:00:00+00:00,20,130.0,66.87772
2020318N16289,IOTA,2020,Nicaragua,NIC,2020,11,2020-11,2020-11-17 03:00:00+00:00,2020-11-18 03:00:00+00:00,10,126.0,64.819944
2022179N08310,BONNIE,2022,Nicaragua,NIC,2022,7,2022-07,2022-07-02 03:00:00+00:00,2022-07-02 12:00:00+00:00,4,50.0,25.7222
2022280N11294,JULIA,2022,Nicaragua,NIC,2022,10,2022-10,2022-10-09 06:00:00+00:00,2022-10-10 00:00:00+00:00,8,75.0,38.5833
2023297N11277,UNNAMED,2023,Nicaragua,NIC,2023,10,2023-10,2023-10-23 21:00:00+00:00,2023-10-24 12:00:00+00:00,7,25.0,12.8611
