SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2008241N19303,HANNA,2008,Turks and Caicos Islands,TCA,2008,9,2008-09,2008-09-01 21:00:00+00:00,2008-09-03 21:00:00+00:00,8,75.0,38.5833
2008245N17323,IKE,2008,Turks and Caicos Islands,TCA,2008,9,2008-09,2008-09-07 03:00:00+00:00,2008-09-07 09:00:00+00:00,3,115.0,59.16106
2010302N09306,TOMAS,2010,Turks and Caicos Islands,TCA,2010,11,2010-11,2010-11-06 06:00:00+00:00,2010-11-06 09:00:00+00:00,3,60.0,30.86664
2011233N15301,IRENE,2011,Turks and Caicos Islands,TCA,2011,8,2011-08,2011-08-23 21:00:00+00:00,2011-08-24 09:00:00+00:00,4,100.0,51.4444
2013204N11340,DORIAN,2013,Turks and Caicos Islands,TCA,2013,7,2013-07,2013-07-30 12:00:00+00:00,2013-07-30 18:00:00+00:00,3,25.0,12.8611
2014210N10323,BERTHA,2014,Turks and Caicos Islands,TCA,2014,8,2014-08,2014-08-03 12:00:00+00:00,2014-08-03 15:00:00+00:00,3,41.0,21.092204
2014236N22288,CRISTOBAL,2014,Turks and Caicos Islands,TCA,2014,8,2014-08,2014-08-23 18:00:00+00:00,2014-08-24 00:00:00+00:00,3,30.0,15.43332
2015313N22289,KATE,2015,Turks and Caicos Islands,TCA,2015,11,2015-11,2015-11-08 18:00:00+00:00,2015-11-08 18:00:00+00:00,1,30.0,15.43332
2017242N16333,IRMA,2017,Turks and Caicos Islands,TCA,2017,9,2017-09,2017-09-08 00:00:00+00:00,2017-09-08 03:00:00+00:00,2,140.0,72.02216
2017260N12310,MARIA,2017,Turks and Caicos Islands,TCA,2017,9,2017-09,2017-09-22 09:00:00+00:00,2017-09-22 09:00:00+00:00,1,110.0,56.588840000000005
2022257N16312,FIONA,2022,Turks and Caicos Islands,TCA,2022,9,2022-09,2022-09-20 09:00:00+00:00,2022-09-20 18:00:00+00:00,5,100.0,51.4444
2024293N21294,OSCAR,2024,Turks and Caicos Islands,TCA,2024,10,2024-10,2024-10-19 20:15:00+00:00,2024-10-20 03:00:00+00:00,4,75.0,38.5833
