SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2010302N09306,TOMAS,2010,Saint Vincent and the Grenadines,VCT,2010,10,2010-10,2010-10-30 18:00:00+00:00,2010-10-30 21:00:00+00:00,3,85.0,43.727740000000004
2012223N14317,HELENE,2012,Saint Vincent and the Grenadines,VCT,2012,8,2012-08,2012-08-11 21:00:00+00:00,2012-08-12 00:00:00+00:00,2,30.0,15.43332
2016273N13300,MATTHEW,2016,Saint Vincent and the Grenadines,VCT,2016,9,2016-09,2016-09-28 18:00:00+00:00,2016-09-28 18:00:00+00:00,1,50.0,25.7222
2017228N14314,HARVEY,2017,Saint Vincent and the Grenadines,VCT,2017,8,2017-08,2017-08-18 15:00:00+00:00,2017-08-18 15:00:00+00:00,1,40.0,20.57776
2018265N08338,KIRK,2018,Saint Vincent and the Grenadines,VCT,2018,9,2018-09,2018-09-28 03:00:00+00:00,2018-09-28 03:00:00+00:00,1,45.0,23.14998
2019265N12301,KAREN,2019,Saint Vincent and the Grenadines,VCT,2019,9,2019-09,2019-09-22 15:00:00+00:00,2019-09-22 15:00:00+00:00,1,35.0,18.00554
2021182N09317,ELSA,2021,Saint Vincent and the Grenadines,VCT,2021,7,2021-07,2021-07-02 15:00:00+00:00,2021-07-02 15:00:00+00:00,1,70.0,36.01108
2023170N11323,BRET,2023,Saint Vincent and the Grenadines,VCT,2023,6,2023-06,2023-06-23 03:00:00+00:00,2023-06-23 03:15:00+00:00,2,55.0,28.294420000000002
2023232N13300,FRANKLIN,2023,Saint Vincent and the Grenadines,VCT,2023,8,2023-08,2023-08-19 21:00:00+00:00,2023-08-19 21:00:00+00:00,1,25.0,12.8611
2024181N09320,BERYL,2024,Saint Vincent and the Grenadines,VCT,2024,7,2024-07,2024-07-01 15:00:00+00:00,2024-07-01 15:20:00+00:00,2,120.0,61.73328
