hazard,iso3,country,year,month,plot_date,policy_year,monthly_max_shake_proxy,monthly_sum_shake_proxy,monthly_max_mag_nearby,n_eq_nearby,has_payout,payout_amount_usd
earthquake,AIA,Anguilla,2007,1,2007-01-01,2006/07,81.42189497262898,81.42189497262898,4.7,1,0,0.0
earthquake,AIA,Anguilla,2007,2,2007-02-01,2006/07,109.89437356844616,109.89437356844616,5.0,1,0,0.0
earthquake,AIA,Anguilla,2007,3,2007-03-01,2006/07,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2007,4,2007-04-01,2006/07,50.88207454028602,71.56584595877831,4.7,2,0,0.0
earthquake,AIA,Anguilla,2007,5,2007-05-01,2006/07,52.690107656447886,52.690107656447886,4.5,1,0,0.0
earthquake,AIA,Anguilla,2007,6,2007-06-01,2007/08,106.75704221792488,106.75704221792488,4.8,1,0,0.0
earthquake,AIA,Anguilla,2007,7,2007-07-01,2007/08,60.11985643566521,60.11985643566521,4.6,1,0,0.0
earthquake,AIA,Anguilla,2007,8,2007-08-01,2007/08,59.65092654971254,88.3019835946168,4.9,2,0,0.0
earthquake,AIA,Anguilla,2007,9,2007-09-01,2007/08,140.30110339440645,223.75489533991205,4.8,2,0,0.0
earthquake,AIA,Anguilla,2007,10,2007-10-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2007,11,2007-11-01,2007/08,592.914077461003,774.4792359506547,7.4,7,0,0.0
earthquake,AIA,Anguilla,2007,12,2007-12-01,2007/08,208.05945056820556,734.3656310295814,5.3,7,0,0.0
earthquake,AIA,Anguilla,2008,1,2008-01-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,2,2008-02-01,2007/08,80.05626040467993,142.34033523300462,5.5,3,0,0.0
earthquake,AIA,Anguilla,2008,3,2008-03-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,4,2008-04-01,2007/08,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,5,2008-05-01,2007/08,96.75990317118242,182.10509525982016,4.6,3,0,0.0
earthquake,AIA,Anguilla,2008,6,2008-06-01,2008/09,125.59767514545824,149.42903142483348,4.9,2,0,0.0
earthquake,AIA,Anguilla,2008,7,2008-07-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,8,2008-08-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,9,2008-09-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2008,10,2008-10-01,2008/09,480.4847352937928,480.4847352937928,6.1,1,0,0.0
earthquake,AIA,Anguilla,2008,11,2008-11-01,2008/09,121.97152384173576,433.4056526586692,5.4,6,0,0.0
earthquake,AIA,Anguilla,2008,12,2008-12-01,2008/09,72.83293762786163,147.35036478040524,4.8,3,0,0.0
earthquake,AIA,Anguilla,2009,1,2009-01-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2009,2,2009-02-01,2008/09,45.49715526613409,106.74495309017578,4.8,3,0,0.0
earthquake,AIA,Anguilla,2009,3,2009-03-01,2008/09,67.56836249884697,67.56836249884697,5.1,1,0,0.0
earthquake,AIA,Anguilla,2009,4,2009-04-01,2008/09,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2009,5,2009-05-01,2008/09,97.65623911775022,117.06148372230432,5.0,2,0,0.0
earthquake,AIA,Anguilla,2009,6,2009-06-01,2009/10,179.14858866027774,331.82560051834,5.0,3,0,0.0
earthquake,AIA,Anguilla,2009,7,2009-07-01,2009/10,98.34398289253014,98.34398289253014,4.7,1,0,0.0
earthquake,AIA,Anguilla,2009,8,2009-08-01,2009/10,93.45360154822,211.7235791819138,5.1,3,0,0.0
earthquake,AIA,Anguilla,2009,9,2009-09-01,2009/10,128.97464376539395,128.97464376539395,4.5,1,0,0.0
earthquake,AIA,Anguilla,2009,10,2009-10-01,2009/10,193.43699117068536,211.6752841431217,4.7,2,0,0.0
earthquake,AIA,Anguilla,2009,11,2009-11-01,2009/10,80.95447988270435,80.95447988270435,4.7,1,0,0.0
earthquake,AIA,Anguilla,2009,12,2009-12-01,2009/10,36.71150110167192,36.71150110167192,4.9,1,0,0.0
earthquake,AIA,Anguilla,2010,1,2010-01-01,2009/10,56.36583342521676,90.41550781713671,5.0,2,0,0.0
earthquake,AIA,Anguilla,2010,2,2010-02-01,2009/10,181.93788163591967,181.93788163591967,4.9,1,0,0.0
earthquake,AIA,Anguilla,2010,3,2010-03-01,2009/10,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2010,4,2010-04-01,2009/10,99.92860817324184,158.12225065114208,4.8,2,0,0.0
earthquake,AIA,Anguilla,2010,5,2010-05-01,2009/10,104.3120480768588,234.94279498757007,5.8,3,0,0.0
earthquake,AIA,Anguilla,2010,6,2010-06-01,2010/11,21.79531726126131,21.79531726126131,4.5,1,0,0.0
earthquake,AIA,Anguilla,2010,7,2010-07-01,2010/11,207.23071741162715,360.28145186877026,4.9,3,0,0.0
earthquake,AIA,Anguilla,2010,8,2010-08-01,2010/11,24.088978400296565,24.088978400296565,4.5,1,0,0.0
earthquake,AIA,Anguilla,2010,9,2010-09-01,2010/11,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2010,10,2010-10-01,2010/11,108.66228436333522,135.3293556075516,4.7,2,0,0.0
earthquake,AIA,Anguilla,2010,11,2010-11-01,2010/11,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2010,12,2010-12-01,2010/11,77.6540813533575,77.6540813533575,5.1,1,0,0.0
earthquake,AIA,Anguilla,2011,1,2011-01-01,2010/11,183.02147354354136,320.1889672504459,5.0,4,0,0.0
earthquake,AIA,Anguilla,2011,2,2011-02-01,2010/11,190.6396844977681,190.6396844977681,5.0,1,0,0.0
earthquake,AIA,Anguilla,2011,3,2011-03-01,2010/11,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2011,4,2011-04-01,2010/11,189.85169082874376,326.23361093545327,5.0,3,0,0.0
earthquake,AIA,Anguilla,2011,5,2011-05-01,2010/11,18.53017920911255,18.53017920911255,4.7,1,0,0.0
earthquake,AIA,Anguilla,2011,6,2011-06-01,2011/12,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2011,7,2011-07-01,2011/12,131.96561034125816,131.96561034125816,4.6,1,0,0.0
earthquake,AIA,Anguilla,2011,8,2011-08-01,2011/12,160.92378305194404,160.92378305194404,4.6,1,0,0.0
