hazard,iso3,country,year,month,plot_date,policy_year,monthly_total_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,population_weight_year,n_days_observed,monthly_mean_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,has_payout,payout_amount_usd
rain,GTM,Guatemala,2007,1,2007-01-01,2006/07,22.732456435701128,3.984953566536056,7.763681813738994,7.975226313480529,3.030232040825137,3.746448183571472,2015,31,0.7333050463129396,0,0,0,0.0
rain,GTM,Guatemala,2007,2,2007-02-01,2006/07,9.71500481238494,3.0767864328135954,3.9344288029462793,3.999302557243581,1.8020172701144168,2.824472328561578,2015,28,0.3469644575851764,0,0,0,0.0
rain,GTM,Guatemala,2007,3,2007-03-01,2006/07,22.54727046816481,5.5518986919449205,9.914999308712977,10.298368592728092,3.795042504591074,5.355027430252178,2015,31,0.7273313054246713,0,0,0,0.0
rain,GTM,Guatemala,2007,4,2007-04-01,2006/07,48.46343256306879,6.989445256480699,14.3260715928225,18.70475758668201,5.186660293778278,6.773734193214566,2015,30,1.6154477521022927,0,0,0,0.0
rain,GTM,Guatemala,2007,5,2007-05-01,2006/07,134.5216515879063,16.75151096621945,42.51349440451562,54.31581360133574,12.880991719148083,16.302476415442044,2015,31,4.339408115738912,0,0,0,0.0
rain,GTM,Guatemala,2007,6,2007-06-01,2007/08,262.10946597539123,31.375158656531543,73.63759661703742,88.373642083616,22.38968157643265,28.846940029453226,2015,30,8.736982199179709,4,0,0,0.0
rain,GTM,Guatemala,2007,7,2007-07-01,2007/08,204.4090369875051,16.49893787329495,34.46897208349324,53.03183410434332,14.470032740961596,16.320494596593804,2015,31,6.593839902822745,0,0,0,0.0
rain,GTM,Guatemala,2007,8,2007-08-01,2007/08,286.29556770485067,28.10987307568568,58.13468220892414,73.79622076583574,18.24513220989683,25.215996834666264,2015,31,9.23534089370486,1,0,0,0.0
rain,GTM,Guatemala,2007,9,2007-09-01,2007/08,305.9304773208835,24.643587744042275,48.55861113239109,78.23785313017302,21.53506574298456,24.56373281479447,2015,30,10.197682577362782,2,0,0,0.0
rain,GTM,Guatemala,2007,10,2007-10-01,2007/08,226.8004806011374,36.42260337037088,63.56512259343994,76.37787592436442,18.63367286953849,31.119898736336744,2015,31,7.316144535520561,1,0,0,0.0
rain,GTM,Guatemala,2007,11,2007-11-01,2007/08,41.14010889703989,20.098095613482013,26.752759737191266,29.678895219118942,3.887641502644297,15.793337026875983,2015,30,1.3713369632346628,1,0,0,0.0
rain,GTM,Guatemala,2007,12,2007-12-01,2007/08,10.633128271642695,2.6276578047985466,3.2601951834377525,22.19901418000017,1.1999406329584623,2.272141907166895,2015,31,0.3430041377949257,0,0,0,0.0
rain,GTM,Guatemala,2008,1,2008-01-01,2007/08,18.067035044019917,4.535502990148692,6.667968969567809,7.275005307845335,2.1847428234209985,4.033466053233171,2015,31,0.5828075820651585,0,0,0,0.0
rain,GTM,Guatemala,2008,2,2008-02-01,2007/08,18.02806022825393,2.880735251193544,4.668029935818316,7.915008487170107,2.2776038923360344,2.733872785557652,2015,29,0.6216572492501355,0,0,0,0.0
rain,GTM,Guatemala,2008,3,2008-03-01,2007/08,27.524523924271985,7.992279014230979,14.331129652137864,15.112070255206987,4.56995680077095,7.492669051998446,2015,31,0.8878878685249026,0,0,0,0.0
rain,GTM,Guatemala,2008,4,2008-04-01,2007/08,58.94398627524239,10.091586813979934,17.331095016126667,23.548117406567364,6.171883741603671,8.976373366736244,2015,30,1.9647995425080795,0,0,0,0.0
rain,GTM,Guatemala,2008,5,2008-05-01,2007/08,145.02324910693673,18.096146082399347,32.34479523362322,44.25891457104048,10.977222884256548,16.173564934599153,2015,31,4.6781693260302175,0,0,0,0.0
rain,GTM,Guatemala,2008,6,2008-06-01,2008/09,336.00698492473833,24.066658654122243,64.75182783474864,90.12282704890924,20.80666439134101,23.593722582051424,2015,30,11.20023283082461,2,0,0,0.0
rain,GTM,Guatemala,2008,7,2008-07-01,2008/09,343.8628033124832,22.78193819214196,60.73464552482008,90.60133333871156,21.997591824814982,22.55758673165025,2015,31,11.092348493951071,3,0,0,0.0
rain,GTM,Guatemala,2008,8,2008-08-01,2008/09,254.93118744643184,25.001396807874613,52.59378015880986,58.984161929360965,19.33015797155139,23.63212246548406,2015,31,8.223586691820381,2,0,0,0.0
rain,GTM,Guatemala,2008,9,2008-09-01,2008/09,351.31104219252865,34.23624563320297,76.4986310477369,103.49694859778262,25.996192045758853,32.08242251196163,2015,30,11.710368073084288,4,0,0,0.0
rain,GTM,Guatemala,2008,10,2008-10-01,2008/09,228.39661748979117,47.66125105068057,69.08772574771596,80.445783820828,21.55113133181416,40.19735898691123,2015,31,7.367632822251327,3,0,0,0.0
rain,GTM,Guatemala,2008,11,2008-11-01,2008/09,17.16593020556504,3.370017241912376,5.063710039178847,5.540196114373733,2.1809390928529195,3.1189369705063346,2015,30,0.5721976735188347,0,0,0,0.0
rain,GTM,Guatemala,2008,12,2008-12-01,2008/09,17.467408227463984,10.12805518140444,11.647415297252405,12.880433766316468,1.960595272388629,7.816669421814421,2015,31,0.5634647815310962,0,0,0,0.0
