hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,BLZ,Belize,2017,1,2017-01-01,2016/17,74.24760520316028,74.24760520316028,0,0.0
rain,BLZ,Belize,2017,2,2017-02-01,2016/17,27.27327188409592,27.27327188409592,0,0.0
rain,BLZ,Belize,2017,3,2017-03-01,2016/17,46.529521636398805,46.529521636398805,0,0.0
rain,BLZ,Belize,2017,4,2017-04-01,2016/17,68.73901858673422,68.73901858673422,0,0.0
rain,BLZ,Belize,2017,5,2017-05-01,2016/17,88.68215011824496,88.68215011824496,0,0.0
rain,BLZ,Belize,2017,6,2017-06-01,2017/18,317.7914615228299,317.7914615228299,0,0.0
rain,BLZ,Belize,2017,7,2017-07-01,2017/18,201.15083084834745,201.15083084834745,0,0.0
rain,BLZ,Belize,2017,8,2017-08-01,2017/18,168.42988847714508,168.42988847714508,0,0.0
rain,BLZ,Belize,2017,9,2017-09-01,2017/18,157.93609231696345,157.93609231696345,0,0.0
rain,BLZ,Belize,2017,10,2017-10-01,2017/18,366.40259473537407,366.40259473537407,0,0.0
rain,BLZ,Belize,2017,11,2017-11-01,2017/18,150.0374395450415,150.0374395450415,0,0.0
rain,BLZ,Belize,2017,12,2017-12-01,2017/18,113.45020169157532,113.45020169157532,0,0.0
rain,BLZ,Belize,2018,1,2018-01-01,2017/18,197.7967709342008,197.7967709342008,0,0.0
rain,BLZ,Belize,2018,2,2018-02-01,2017/18,67.11317665180097,67.11317665180097,0,0.0
rain,BLZ,Belize,2018,3,2018-03-01,2017/18,66.40199172202807,66.40199172202807,0,0.0
rain,BLZ,Belize,2018,4,2018-04-01,2017/18,81.07938490036899,81.07938490036899,0,0.0
rain,BLZ,Belize,2018,5,2018-05-01,2017/18,90.37607124107129,90.37607124107129,0,0.0
rain,BLZ,Belize,2018,6,2018-06-01,2018/19,275.51040171717284,275.51040171717284,0,0.0
rain,BLZ,Belize,2018,7,2018-07-01,2018/19,155.9560463551613,155.9560463551613,0,0.0
rain,BLZ,Belize,2018,8,2018-08-01,2018/19,264.4651041791566,264.4651041791566,0,0.0
rain,BLZ,Belize,2018,9,2018-09-01,2018/19,203.16250911295225,203.16250911295225,0,0.0
rain,BLZ,Belize,2018,10,2018-10-01,2018/19,227.53661617024375,227.53661617024375,0,0.0
rain,BLZ,Belize,2018,11,2018-11-01,2018/19,140.66455682121858,140.66455682121858,0,0.0
rain,BLZ,Belize,2018,12,2018-12-01,2018/19,103.68171273430109,103.68171273430109,0,0.0
rain,BLZ,Belize,2019,1,2019-01-01,2018/19,62.996257186732365,62.996257186732365,0,0.0
rain,BLZ,Belize,2019,2,2019-02-01,2018/19,47.56903905393285,47.56903905393285,0,0.0
rain,BLZ,Belize,2019,3,2019-03-01,2018/19,26.76285678050557,26.76285678050557,0,0.0
rain,BLZ,Belize,2019,4,2019-04-01,2018/19,71.84820795798467,71.84820795798467,0,0.0
rain,BLZ,Belize,2019,5,2019-05-01,2018/19,99.76287930116352,99.76287930116352,0,0.0
rain,BLZ,Belize,2019,6,2019-06-01,2019/20,150.75668561763456,150.75668561763456,0,0.0
rain,BLZ,Belize,2019,7,2019-07-01,2019/20,115.51562311921504,115.51562311921504,0,0.0
rain,BLZ,Belize,2019,8,2019-08-01,2019/20,60.73342066922784,60.73342066922784,0,0.0
rain,BLZ,Belize,2019,9,2019-09-01,2019/20,141.55265177240005,141.55265177240005,0,0.0
rain,BLZ,Belize,2019,10,2019-10-01,2019/20,239.3412841474629,239.3412841474629,0,0.0
rain,BLZ,Belize,2019,11,2019-11-01,2019/20,105.39788923427456,105.39788923427456,0,0.0
rain,BLZ,Belize,2019,12,2019-12-01,2019/20,99.17428275851618,99.17428275851618,0,0.0
rain,BLZ,Belize,2020,1,2020-01-01,2019/20,123.87907230792555,123.87907230792555,0,0.0
rain,BLZ,Belize,2020,2,2020-02-01,2019/20,44.5436087523893,44.5436087523893,0,0.0
rain,BLZ,Belize,2020,3,2020-03-01,2019/20,33.61792521233536,33.61792521233536,0,0.0
rain,BLZ,Belize,2020,4,2020-04-01,2019/20,13.377396675867772,13.377396675867772,0,0.0
rain,BLZ,Belize,2020,5,2020-05-01,2019/20,219.97044554615624,219.97044554615624,0,0.0
rain,BLZ,Belize,2020,6,2020-06-01,2020/21,294.14315703898893,294.14315703898893,1,203136.0
rain,BLZ,Belize,2020,7,2020-07-01,2020/21,126.40845556537272,126.40845556537272,0,0.0
rain,BLZ,Belize,2020,8,2020-08-01,2020/21,158.3694136861895,158.3694136861895,0,0.0
rain,BLZ,Belize,2020,9,2020-09-01,2020/21,188.9408261679285,188.9408261679285,0,0.0
rain,BLZ,Belize,2020,10,2020-10-01,2020/21,269.3822925245454,269.3822925245454,0,0.0
rain,BLZ,Belize,2020,11,2020-11-01,2020/21,608.0832123743191,608.0832123743191,0,0.0
rain,BLZ,Belize,2020,12,2020-12-01,2020/21,144.5473740901486,144.5473740901486,0,0.0
rain,BLZ,Belize,2021,1,2021-01-01,2020/21,119.06867878121412,119.06867878121412,0,0.0
rain,BLZ,Belize,2021,2,2021-02-01,2020/21,53.10869037209139,53.10869037209139,0,0.0
rain,BLZ,Belize,2021,3,2021-03-01,2020/21,42.81978831840817,42.81978831840817,0,0.0
rain,BLZ,Belize,2021,4,2021-04-01,2020/21,38.40343407300808,38.40343407300808,0,0.0
rain,BLZ,Belize,2021,5,2021-05-01,2020/21,108.85633731371225,108.85633731371225,0,0.0
rain,BLZ,Belize,2021,6,2021-06-01,2021/22,171.82888208948825,171.82888208948825,0,0.0
rain,BLZ,Belize,2021,7,2021-07-01,2021/22,197.36192346308397,197.36192346308397,0,0.0
rain,BLZ,Belize,2021,8,2021-08-01,2021/22,187.50852723817164,187.50852723817164,0,0.0
rain,BLZ,Belize,2021,9,2021-09-01,2021/22,239.5768301556184,239.5768301556184,0,0.0
rain,BLZ,Belize,2021,10,2021-10-01,2021/22,162.535389507732,162.535389507732,0,0.0
rain,BLZ,Belize,2021,11,2021-11-01,2021/22,101.2605181442904,101.2605181442904,0,0.0
rain,BLZ,Belize,2021,12,2021-12-01,2021/22,104.85236747810622,104.85236747810622,0,0.0
rain,BLZ,Belize,2022,1,2022-01-01,2021/22,131.55193080759264,131.55193080759264,0,0.0
rain,BLZ,Belize,2022,2,2022-02-01,2021/22,140.2439701062904,140.2439701062904,0,0.0
rain,BLZ,Belize,2022,3,2022-03-01,2021/22,88.18291557366497,88.18291557366497,0,0.0
rain,BLZ,Belize,2022,4,2022-04-01,2021/22,89.2829071463366,89.2829071463366,0,0.0
rain,BLZ,Belize,2022,5,2022-05-01,2021/22,113.27877882446676,113.27877882446676,0,0.0
rain,BLZ,Belize,2022,6,2022-06-01,2022/23,239.45205096979777,239.45205096979777,0,0.0
rain,BLZ,Belize,2022,7,2022-07-01,2022/23,181.9388131302059,181.9388131302059,0,0.0
rain,BLZ,Belize,2022,8,2022-08-01,2022/23,357.5755229476631,357.5755229476631,0,0.0
rain,BLZ,Belize,2022,9,2022-09-01,2022/23,295.962108841356,295.962108841356,0,0.0
rain,BLZ,Belize,2022,10,2022-10-01,2022/23,127.0181624756938,127.0181624756938,0,0.0
rain,BLZ,Belize,2022,11,2022-11-01,2022/23,313.7709311429566,313.7709311429566,0,0.0
rain,BLZ,Belize,2022,12,2022-12-01,2022/23,164.65355981646888,164.65355981646888,0,0.0
rain,BLZ,Belize,2023,1,2023-01-01,2022/23,64.84549729745427,64.84549729745427,0,0.0
rain,BLZ,Belize,2023,2,2023-02-01,2022/23,79.61063853746026,79.61063853746026,0,0.0
