hazard,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,tp,tn,fp,fn,near_below_5pct_n,near_above_5pct_n,near_tn_below_5pct,near_fn_below_5pct,near_tp_above_5pct,near_fp_above_5pct,local_below_payout_rate_5pct,local_above_payout_rate_5pct,local_first_stage_5pct,near_below_10pct_n,near_above_10pct_n,near_tn_below_10pct,near_fn_below_10pct,near_tp_above_10pct,near_fp_above_10pct,local_below_payout_rate_10pct,local_above_payout_rate_10pct,local_first_stage_10pct,above_threshold_with_payout,above_threshold_no_payout,below_threshold_with_payout,below_threshold_no_payout
earthquake,BHS,Bahamas,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earthquake,BHS,Bahamas,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
