hazard,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,true_positives,true_negatives,false_positives,false_negatives
tc,BHS,Bahamas,2016/17,5,0,,,,,,,,,,,,
tc,BHS,Bahamas,2017/18,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2018/19,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2019/20,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2020/21,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2021/22,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2022/23,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2023/24,12,0,,,,,,,,,,,,
tc,BHS,Bahamas,2024/25,7,0,,,,,,,,,,,,
tc,BLZ,Belize,2016/17,5,0,,,,,,,,,,,,
tc,BLZ,Belize,2017/18,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2018/19,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2019/20,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2020/21,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2021/22,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2022/23,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2023/24,12,0,,,,,,,,,,,,
tc,BLZ,Belize,2024/25,7,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2016/17,5,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2017/18,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2018/19,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2019/20,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2020/21,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2021/22,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2022/23,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2023/24,12,0,,,,,,,,,,,,
tc,DOM,Dominican Republic,2024/25,7,0,,,,,,,,,,,,
tc,HTI,Haiti,2016/17,5,0,,,,,,,,,,,,
tc,HTI,Haiti,2017/18,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2018/19,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2019/20,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2020/21,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2021/22,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2022/23,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2023/24,12,0,,,,,,,,,,,,
tc,HTI,Haiti,2024/25,7,0,,,,,,,,,,,,
tc,JAM,Jamaica,2016/17,5,0,,,,,,,,,,,,
tc,JAM,Jamaica,2017/18,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2018/19,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2019/20,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2020/21,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2021/22,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2022/23,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2023/24,12,0,,,,,,,,,,,,
tc,JAM,Jamaica,2024/25,7,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2016/17,5,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2017/18,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2018/19,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2019/20,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2020/21,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2021/22,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2022/23,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2023/24,12,0,,,,,,,,,,,,
tc,TTO,Trinidad and Tobago,2024/25,7,1,0.0,0.14285714285714285,0.5,0.14285714285714285,1.0,0.0,0.25,-5.0,1.0,0.0,6.0,0.0
