project_id,project_name,country,status,approval_date,closing_date,lending_instrument,approved_amount,currency,url,raw_project_name
P507916,BRB Cat DDO,Barbados,Pipeline,,,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P507916,"""BRB Cat DDO"""
P505490,Belize Cat DDO,Belize,Pipeline,,,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P505490,"""Belize Cat DDO"""
P180286,Benin Boosting Inclusive Growth and Resilience DPF1 series with Cat DDO,Benin,Active,2023-09-15T00:00:00Z,12/31/2027 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P180286,"""Benin Boosting Inclusive Growth and Resilience DPF1 series with Cat DDO"""
P168987,Benin Disaster Risk Management Development Policy Credit with Cat DDO,Benin,Dropped,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P168987,"""Benin Disaster Risk Management Development Policy Credit with Cat DDO"""
P500536,Bhutan Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option,Bhutan,Active,2024-12-11T00:00:00Z,12/31/2027 12:00:00 AM,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P500536,"""Bhutan Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option"""
P160628,Cabo Verde Disaster Risk Management Development Policy Financing with Cat DDO,Cabo Verde,Closed,2019-06-05T00:00:00Z,6/30/2022 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P160628,"""Cabo Verde Disaster Risk Management Development Policy Financing with Cat DDO"""
P176148,Cabo Verde: Second Resilient and Equitable Recovery DPF with a Cat DDO,Cabo Verde,Active,2022-11-17T00:00:00Z,2/15/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P176148,"""Cabo Verde: Second Resilient and Equitable Recovery DPF with a Cat DDO"""
P181256,Colombia - Fourth Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option (Cat DDO IV),Colombia,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P181256,"""Colombia - Fourth Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option (Cat DDO IV)"""
P176650,Third Disaster Risk Management Development Policy Loan with a Cat DDO,Colombia,Active,2021-12-17T00:00:00Z,6/15/2025 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P176650,"""Third Disaster Risk Management Development Policy Loan with a Cat DDO"""
P111926,Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO),Costa Rica,Closed,2008-09-16T00:00:00Z,10/30/2017 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P111926,"""Costa Rica Catastrophe Deferred Draw Down Option (CAT DDO)"""
P179861,Second Costa Rica Disaster Risk Management Development Policy Loan with a CAT DDO,Costa Rica,Active,2023-03-23T00:00:00Z,3/24/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P179861,"""Second Costa Rica Disaster Risk Management Development Policy Loan with a CAT DDO"""
P177807,Dominica Disaster Risk Management Development Policy Financing  with a Catastrophe Deferred Drawdown Option,Dominica,Active,2022-06-03T00:00:00Z,5/6/2025 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P177807,"""Dominica Disaster Risk Management Development Policy Financing  with a Catastrophe Deferred Drawdown Option"""
P178122,Dominican Republic Second DRM Development Policy Loan with a Catastrophe Deferred Drawdown Option,Dominican Republic,Active,2022-12-02T00:00:00Z,1/15/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P178122,"""Dominican Republic Second DRM Development Policy Loan with a Catastrophe Deferred Drawdown Option"""
