Country,damage_musd,payout_musd,n_disasters,n_payouts,coverage_pct
Haiti,12398.591,78.279643,12.0,5.0,0.6313591842815042
Jamaica,11562.657,121.977631,16.0,5.0,1.054927349310803
Cayman Islands,3496.58,0.0,5.0,0.0,0.0
British Virgin Islands,3000.0,1.401671,1.0,2.0,0.04672236666666666
Dominica,1958.81,23.278996,3.0,4.0,1.1884254215569656
Grenada,1151.9,55.565735999999994,3.0,5.0,4.823833318864484
Turks and Caicos Islands,1000.0,21.587919,2.0,4.0,2.1587919
Dominican Republic,862.935,0.0,17.0,0.0,0.0
Belize,652.004,0.919209,5.0,3.0,0.14098211053919915
Guyana,634.1,0.0,2.0,0.0,0.0
Saint Vincent and the Grenadines,498.4,3.485722,7.0,4.0,0.6993824237560193
Antigua and Barbuda,262.6,10.095944,2.0,3.0,3.8446092916984003
Anguilla,200.0,12.02337,1.0,5.0,6.011685
Saint Lucia,75.0,8.11339,4.0,4.0,10.817853333333334
Suriname,21.0,0.0,1.0,0.0,0.0
Saint Kitts and Nevis,20.0,4.859814999999999,1.0,3.0,24.299074999999995
Barbados,5.2,21.774135,2.0,8.0,418.7333653846154
Trinidad and Tobago,4.7,20.078494,2.0,9.0,427.20199999999994
Guatemala,0.0,10.004197000000001,0.0,2.0,
Bahamas (the),0.0,14.285627999999999,0.0,5.0,
Tonga,0.0,8.0,0.0,2.0,
Senegal,0.0,38.0,0.0,2.0,
Samoa,0.0,0.285,0.0,1.0,
Panama,0.0,29.370825,0.0,3.0,
Fiji,0.0,0.045,0.0,1.0,
Niger,0.0,3.5,0.0,1.0,
Nicaragua,0.0,41.175477,0.0,6.0,
Mauritania,0.0,8.7,0.0,2.0,
Malawi,0.0,8.1,0.0,1.0,
Lao PDR,0.0,6.5,0.0,5.0,
Cayman Turtle Conservation and Education Centre,0.0,0.119474,0.0,1.0,
Honduras,0.0,4.66509,0.0,1.0,
Cote d'Ivoire,0.0,0.73854,0.0,1.0,
Vanuatu,0.0,1.2,0.0,1.0,
