Pool,Policy,N,Mean,Std. Dev.,Median,P25,P75,Min,Max,Total
CCRIF,CCRIF-TC,29.0,9.61,14.99,4.28,0.98,11.53,0.12,70.8,278.72
CCRIF,CCRIF-XSR,44.0,3.22,4.44,1.45,0.55,3.67,0.16,21.09,141.75
ARC,,7.0,8.43,7.81,6.3,2.95,12.05,0.74,22.0,59.04
CCRIF,CCRIF-EQ,6.0,8.33,15.75,0.69,0.51,6.03,0.42,39.95,50.0
PCRIC,,5.0,1.91,1.99,1.2,0.28,3.5,0.04,4.5,9.53
CCRIF,CCRIF-ELEC,1.0,9.32,,9.32,9.32,9.32,9.32,9.32,9.32
SEADRIF,SEADRIF-MBP,2.0,1.5,1.06,1.5,1.12,1.88,0.75,2.25,3.0
CCRIF,CCRIF-CWUIC,1.0,2.2,,2.2,2.2,2.2,2.2,2.2,2.2
SEADRIF,SEADRIF-CT,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
SEADRIF,SEADRIF-FR,2.0,0.75,0.07,0.75,0.72,0.78,0.7,0.8,1.5
CCRIF,CCRIF-COAST,1.0,1.07,,1.07,1.07,1.07,1.07,1.07,1.07
