country,year,total_payout
Anguilla,2010,4282733.0
Anguilla,2014,1052714.0
Anguilla,2017,6687923.0
Antigua and Barbuda,2017,6794875.0
Antigua and Barbuda,2022,420645.0
Antigua and Barbuda,2023,2880424.0
The Bahamas,2017,163598.0
The Bahamas,2019,12824153.0
The Bahamas,2025,1297877.0
Barbados,2010,8560247.0
Barbados,2014,1284882.0
Barbados,2016,1728277.0
Barbados,2017,1917506.0
Barbados,2018,5813299.0
Barbados,2021,2469924.0
Belize,2016,261073.0
Belize,2020,203136.0
Belize,2022,455000.0
British Virgin Islands,2023,1401671.0
Cayman Turtle Conservation and Education Centre,2024,119474.0
Cote d'Ivoire,2019,738540.0
Dominica,2007,528021.0
Dominica,2015,2402153.0
Dominica,2017,20348822.0
Fiji,2025,45000.0
Grenada,2024,55565736.0
Guatemala,2020,3628013.0
Guatemala,2024,6376184.0
Haiti,2010,7753579.0
Haiti,2016,23408834.0
Haiti,2020,7163958.0
Haiti,2021,39953272.0
Honduras,2024,4665090.0
Jamaica,2020,3500000.0
Jamaica,2024,26587939.0
Jamaica,2025,91889692.0
Lao PDR,2023,1500000.0
Lao PDR,2024,3000000.0
Lao PDR,2025,2000000.0
Malawi,2017,8100000.0
Mauritania,2015,6300000.0
Mauritania,2018,2400000.0
Nicaragua,2016,1610193.0
Nicaragua,2020,22847183.0
Nicaragua,2022,8924577.0
Niger,2015,3500000.0
Panama,2020,2670556.0
Panama,2024,26700269.0
Samoa,2025,285000.0
Senegal,2015,16000000.0
Senegal,2019,22000000.0
St. Kitts and Nevis,2014,1055408.0
St. Kitts and Nevis,2017,2294603.0
St. Kitts and Nevis,2023,1509804.0
St. Lucia,2007,418976.0
St. Lucia,2010,3241613.0
St. Lucia,2016,3781788.0
St. Lucia,2017,671013.0
St. Vincent and the Grenadines,2010,1090388.0
St. Vincent and the Grenadines,2016,285349.0
St. Vincent and the Grenadines,2017,247257.0
St. Vincent and the Grenadines,2024,1862728.0
Tonga,2018,3500000.0
Tonga,2020,4500000.0
Trinidad and Tobago,2017,9542436.0
Trinidad and Tobago,2019,362982.0
Trinidad and Tobago,2020,176146.0
Trinidad and Tobago,2021,2381464.0
Trinidad and Tobago,2022,7278714.0
Trinidad and Tobago,2024,372752.0
Turks and Caicos Islands,2008,6303913.0
Turks and Caicos Islands,2017,15284006.0
Vanuatu,2024,1200000.0
